risk_factor,path,time_years,value
SP500,32,3.0,6410.495384302701
SP500,32,3.25,5652.983272361354
SP500,32,3.5,5529.023454748038
SP500,32,3.75,6026.347093655577
SP500,32,4.0,5740.298458166163
SP500,32,4.25,5713.565467351432
SP500,32,4.5,5759.818759437279
SP500,32,4.75,5765.107041705908
SP500,32,5.0,5680.390600083785
SP500,33,0.0,5000.0
SP500,33,0.25,4932.614629149612
SP500,33,0.5,4783.9273584210305
SP500,33,0.75,5922.952323461978
SP500,33,1.0,5432.463295323673
SP500,33,1.25,5002.757676020285
SP500,33,1.5,4791.304238761917
SP500,33,1.75,4886.785992453526
SP500,33,2.0,4622.671775384442
SP500,33,2.25,4868.023826083259
SP500,33,2.5,4994.074584352729
SP500,33,2.75,4832.895766062389
SP500,33,3.0,5017.70883997004
SP500,33,3.25,4170.16423555991
SP500,33,3.5,4055.8660302603334
SP500,33,3.75,4095.2753305771344
SP500,33,4.0,3680.5310541177946
SP500,33,4.25,3629.457684592445
SP500,33,4.5,3593.983154278907
SP500,33,4.75,3264.4987398346216
SP500,33,5.0,3319.0741518822765
SP500,34,0.0,5000.0
SP500,34,0.25,5607.170050596996
SP500,34,0.5,5480.701757666014
SP500,34,0.75,4783.3240093259565
SP500,34,1.0,4501.762266381334
SP500,34,1.25,4491.110856375571
SP500,34,1.5,4830.980646648865
SP500,34,1.75,5294.866286722944
SP500,34,2.0,5692.634219015478
SP500,34,2.25,5894.669753166985
SP500,34,2.5,6021.188402103789
SP500,34,2.75,5270.42658212729
SP500,34,3.0,4992.721074311191
SP500,34,3.25,5285.588650574175
SP500,34,3.5,5231.442381349101
SP500,34,3.75,4985.554855205731
SP500,34,4.0,4612.926004742359
SP500,34,4.25,4643.894880441348
SP500,34,4.5,4513.200346461884
SP500,34,4.75,4367.3445270841685
SP500,34,5.0,4241.209974493138
SP500,35,0.0,5000.0
SP500,35,0.25,5481.822355562514
SP500,35,0.5,5608.726176239481
SP500,35,0.75,4945.584165680963
SP500,35,1.0,4747.006266752608
SP500,35,1.25,5190.971073649453
SP500,35,1.5,5433.829177435108
SP500,35,1.75,5358.677659625302
SP500,35,2.0,6822.795804286556
SP500,35,2.25,6134.599567850033
SP500,35,2.5,6199.644826084338
SP500,35,2.75,6841.765105359401
SP500,35,3.0,6282.9362765362175
SP500,35,3.25,6768.411382782472
SP500,35,3.5,6787.804282215823
SP500,35,3.75,6882.212976497238
SP500,35,4.0,7438.319545499
SP500,35,4.25,6745.354374545577
SP500,35,4.5,7078.271096897928
SP500,35,4.75,6058.792812764408
SP500,35,5.0,5864.986629550798
SP500,36,0.0,5000.0
SP500,36,0.25,5403.486250472161
SP500,36,0.5,5565.156969492914
SP500,36,0.75,5444.174019364189
SP500,36,1.0,5146.472245285047
SP500,36,1.25,5121.209447076397
SP500,36,1.5,4564.997863565385
SP500,36,1.75,4614.499801099609
SP500,36,2.0,4926.983443493639
SP500,36,2.25,4035.517135074187
SP500,36,2.5,4647.285453154121
SP500,36,2.75,4796.511854114524
SP500,36,3.0,5247.41350945841
SP500,36,3.25,5196.997732757924
SP500,36,3.5,5608.543442449854
SP500,36,3.75,6519.499738218231
SP500,36,4.0,7120.649900768739
SP500,36,4.25,7282.874924206394
SP500,36,4.5,8005.848191457124
SP500,36,4.75,6435.020440848018
SP500,36,5.0,6460.559250050282
SP500,37,0.0,5000.0
SP500,37,0.25,5085.175563434258
SP500,37,0.5,4409.83536658404
SP500,37,0.75,4279.84338159889
SP500,37,1.0,4078.2418119055073
SP500,37,1.25,4088.011642167658
SP500,37,1.5,4703.608251271878
SP500,37,1.75,4607.747157616764
SP500,37,2.0,5193.053464847109
SP500,37,2.25,6428.7283402051735
SP500,37,2.5,8041.026068968452
SP500,37,2.75,8392.632301980193
SP500,37,3.0,8087.62518128658
SP500,37,3.25,8671.47409123553
SP500,37,3.5,8813.149767180861
SP500,37,3.75,9760.518318781369
SP500,37,4.0,11328.29464277918
SP500,37,4.25,11338.466130582487
SP500,37,4.5,11722.561045352919
SP500,37,4.75,12266.216513521607
SP500,37,5.0,12088.30190377184
SP500,38,0.0,5000.0
SP500,38,0.25,4874.6120404118965
SP500,38,0.5,4720.313957973479
SP500,38,0.75,5313.29710135401
SP500,38,1.0,5366.611018524159
SP500,38,1.25,5189.860799074843
SP500,38,1.5,5209.205555548207
SP500,38,1.75,5249.446156889524
SP500,38,2.0,4747.096518618736
SP500,38,2.25,5220.754908828157
SP500,38,2.5,4489.580188827913
SP500,38,2.75,4102.854046296245
SP500,38,3.0,4416.196087592693
SP500,38,3.25,4807.538144995088
SP500,38,3.5,4431.458894636832
SP500,38,3.75,4115.068677881323
SP500,38,4.0,3998.2065980998227
SP500,38,4.25,4026.4480839761313
SP500,38,4.5,3818.4980203093987
SP500,38,4.75,4004.1308276061172
SP500,38,5.0,3994.867890505039
SP500,39,0.0,5000.0
SP500,39,0.25,5071.528733681322
SP500,39,0.5,5324.859075071494
SP500,39,0.75,5571.7036086374555
SP500,39,1.0,5274.491140616398
SP500,39,1.25,5708.77693195616
SP500,39,1.5,7518.897114255269
SP500,39,1.75,7833.788921292205
SP500,39,2.0,7826.324070873441
SP500,39,2.25,7721.703755676073
SP500,39,2.5,7306.626003289413
SP500,39,2.75,7734.146834071819
SP500,39,3.0,8094.46253870852
SP500,39,3.25,7408.911599065668
SP500,39,3.5,7359.7935934331235
SP500,39,3.75,7420.504591652651
SP500,39,4.0,6613.706342445737
SP500,39,4.25,5818.566800454698
SP500,39,4.5,5198.196183616014
SP500,39,4.75,4687.2963234254985
SP500,39,5.0,4695.892661182864
SP500,40,0.0,5000.0
SP500,40,0.25,5600.816187848978
SP500,40,0.5,5407.789687588777
SP500,40,0.75,5088.847967700199
SP500,40,1.0,4615.479959838741
SP500,40,1.25,5251.341610063294
SP500,40,1.5,5198.4576790917345
SP500,40,1.75,4931.759177511517
SP500,40,2.0,4312.751863399144
SP500,40,2.25,4746.719955625233
SP500,40,2.5,5006.0602760445245
SP500,40,2.75,4586.7254155987575
SP500,40,3.0,4717.286242713543
SP500,40,3.25,4762.58051998429
SP500,40,3.5,5318.570024488836
SP500,40,3.75,6228.562035988104
SP500,40,4.0,5653.221506334497
SP500,40,4.25,5904.799329487368
SP500,40,4.5,5518.587723541231
SP500,40,4.75,5352.042906015409
SP500,40,5.0,4380.190109847609
SP500,41,0.0,5000.0
SP500,41,0.25,5240.886783040848
SP500,41,0.5,5816.717058108506
SP500,41,0.75,5352.890471295538
SP500,41,1.0,5672.901015127002
SP500,41,1.25,5615.6293631790495
SP500,41,1.5,6708.714735917793
SP500,41,1.75,6753.690294813703
SP500,41,2.0,6624.478361310102
SP500,41,2.25,6751.702978293324
SP500,41,2.5,6398.179739268798
SP500,41,2.75,6378.1872054565765
SP500,41,3.0,6464.84333041659
SP500,41,3.25,6385.793433015177
SP500,41,3.5,6327.754321162015
SP500,41,3.75,6618.556895113634
SP500,41,4.0,7104.933775365545
SP500,41,4.25,7085.489963920435
SP500,41,4.5,6460.005354583587
SP500,41,4.75,5933.585894952358
SP500,41,5.0,5707.487622999117
SP500,42,0.0,5000.0
SP500,42,0.25,4101.547717642473
SP500,42,0.5,3642.5869290851806
SP500,42,0.75,3677.3194486836123
SP500,42,1.0,3571.0718467290144
SP500,42,1.25,3455.516582383875
SP500,42,1.5,3550.800815636742
SP500,42,1.75,3697.601018011171
SP500,42,2.0,3613.052123211119
SP500,42,2.25,3324.459896321141
SP500,42,2.5,3282.729546372804
SP500,42,2.75,3504.7549969846414
SP500,42,3.0,3196.4491151624284
SP500,42,3.25,3153.444343321747
SP500,42,3.5,3043.0861706036617
SP500,42,3.75,3300.031694179015
SP500,42,4.0,3262.9467597207404
SP500,42,4.25,3245.823516550531
SP500,42,4.5,3407.6970821678387
SP500,42,4.75,3476.1565937791765
SP500,42,5.0,3554.60262256685
SP500,43,0.0,5000.0
SP500,43,0.25,4898.927096222677
SP500,43,0.5,4709.618353671569
SP500,43,0.75,4755.54450951728
SP500,43,1.0,4961.24419200721
SP500,43,1.25,4577.453306669872
SP500,43,1.5,4056.0597416244527
SP500,43,1.75,4868.510105424746
SP500,43,2.0,5220.17249066016
SP500,43,2.25,5439.335311942204
SP500,43,2.5,5530.713698480499
SP500,43,2.75,6049.092135081767
SP500,43,3.0,6599.314659307822
SP500,43,3.25,6477.0689495446595
SP500,43,3.5,6665.434189819009
SP500,43,3.75,7257.76231999989
SP500,43,4.0,8221.989907378937
SP500,43,4.25,9529.127668625284
SP500,43,4.5,8651.587880593379
SP500,43,4.75,9634.820378830476
SP500,43,5.0,9547.319990837275
SP500,44,0.0,5000.0
SP500,44,0.25,5078.655597847852
SP500,44,0.5,5918.163858407264
SP500,44,0.75,5980.835841012594
SP500,44,1.0,6049.495279183582
SP500,44,1.25,5798.086338245467
SP500,44,1.5,5976.946214373178
SP500,44,1.75,5671.076857105354
SP500,44,2.0,6033.899271867336
SP500,44,2.25,5113.451259440538
SP500,44,2.5,5327.200592614243
SP500,44,2.75,5335.961996156906
SP500,44,3.0,6093.438617848629
SP500,44,3.25,6555.181844102868
SP500,44,3.5,6508.631565476821
SP500,44,3.75,6615.206696933395
SP500,44,4.0,7907.113857757388
SP500,44,4.25,9479.673039250563
SP500,44,4.5,9169.61608263663
SP500,44,4.75,9341.394544782459
SP500,44,5.0,8976.676872737746
SP500,45,0.0,5000.0
SP500,45,0.25,6133.141754603394
SP500,45,0.5,6605.247092170269
SP500,45,0.75,6533.3498819340075
SP500,45,1.0,6343.508416944663
SP500,45,1.25,5880.512078423006
SP500,45,1.5,5559.406111178396
SP500,45,1.75,6688.717916424871
SP500,45,2.0,6983.798802694002
SP500,45,2.25,7000.826262172571
SP500,45,2.5,7940.521478104156
SP500,45,2.75,9429.816363532482
SP500,45,3.0,8301.698021409047
SP500,45,3.25,8187.736077760105
SP500,45,3.5,8646.712714892677
SP500,45,3.75,10317.780609737754
SP500,45,4.0,10718.376844361117
SP500,45,4.25,9353.622396518122
SP500,45,4.5,9710.66352519458
SP500,45,4.75,8108.592024557963
SP500,45,5.0,8686.363805095783
SP500,46,0.0,5000.0
SP500,46,0.25,5312.984621793831
SP500,46,0.5,5525.098507755213
SP500,46,0.75,6011.269388442924
SP500,46,1.0,5504.93193534792
SP500,46,1.25,5478.227420866647
SP500,46,1.5,5061.519876198087
SP500,46,1.75,4921.535502366042
SP500,46,2.0,4813.127484516751
SP500,46,2.25,4859.467043066411
SP500,46,2.5,5004.957144301817
SP500,46,2.75,5329.348188080205
SP500,46,3.0,6046.3592286159255
SP500,46,3.25,6164.86921537294
SP500,46,3.5,5747.116101793359
SP500,46,3.75,6673.766326625568
SP500,46,4.0,6400.409681883046
SP500,46,4.25,5974.127126701418
SP500,46,4.5,6808.665327830482
SP500,46,4.75,7328.20210664699
SP500,46,5.0,6581.839613857134
SP500,47,0.0,5000.0
SP500,47,0.25,5393.556331187892
SP500,47,0.5,5998.898179182181
SP500,47,0.75,6341.277969038778
SP500,47,1.0,6635.943576569085
SP500,47,1.25,7018.388101224002
SP500,47,1.5,5929.733757217605
SP500,47,1.75,5201.682815548415
SP500,47,2.0,4880.822546089527
SP500,47,2.25,5264.028339187722
SP500,47,2.5,4925.29890241864
SP500,47,2.75,4637.559608798175
SP500,47,3.0,3628.57965073614
SP500,47,3.25,3776.7868743313893
SP500,47,3.5,3730.5264897266748
SP500,47,3.75,3800.687874676953
SP500,47,4.0,4191.976962835608
SP500,47,4.25,4126.577012140301
SP500,47,4.5,3728.6880725367378
SP500,47,4.75,3496.0017581878274
SP500,47,5.0,3432.2843587435364
SP500,48,0.0,5000.0
SP500,48,0.25,5065.6423140002435
SP500,48,0.5,4111.216044675572
SP500,48,0.75,3781.81940093983
SP500,48,1.0,3740.102683875545
SP500,48,1.25,3800.733705158559
SP500,48,1.5,4109.749911961212
SP500,48,1.75,3804.635751089659
SP500,48,2.0,3963.52659679218
SP500,48,2.25,3568.88286239138
SP500,48,2.5,3714.144095042762
SP500,48,2.75,4217.695216742618
SP500,48,3.0,4262.9462214448795
SP500,48,3.25,3991.2108622640435
SP500,48,3.5,3733.355081295441
SP500,48,3.75,4429.275001854868
SP500,48,4.0,4621.894885171917
SP500,48,4.25,5839.925441067032
SP500,48,4.5,5148.152456526054
SP500,48,4.75,4573.433094604613
SP500,48,5.0,4304.947951160349
SP500,49,0.0,5000.0
SP500,49,0.25,4850.816044441961
SP500,49,0.5,5261.95139393005
SP500,49,0.75,5027.4645627251775
SP500,49,1.0,5518.336978985665
SP500,49,1.25,5665.426707188719
SP500,49,1.5,5518.787735607356
SP500,49,1.75,5415.825827319305
SP500,49,2.0,5421.660244174761
SP500,49,2.25,5251.024797889856
SP500,49,2.5,5807.4719200838435
SP500,49,2.75,6438.8961200580325
SP500,49,3.0,6033.92827879425
SP500,49,3.25,5564.2581927959645
SP500,49,3.5,6463.200378482242
SP500,49,3.75,6303.737435196616
SP500,49,4.0,6147.932770318945
SP500,49,4.25,5894.853195518401
SP500,49,4.5,5356.042678530217
SP500,49,4.75,5071.636976976645
SP500,49,5.0,4904.800578068588
NASDAQ100,0,0.0,18000.0
NASDAQ100,0,0.25,17426.92510386417
NASDAQ100,0,0.5,16183.501274320724
NASDAQ100,0,0.75,16073.347275290858
NASDAQ100,0,1.0,18202.745977018807
