counterparty,time_years,path,exposure,hazard_rate,default_weight
Bank B,1.5,1235,630937.0654107126,0.027775396020331116,0.006410524118975025
Bank B,1.5,1236,2034347.7929908747,0.026419026874781208,0.0060814239203843545
Bank B,1.5,1237,706171.7529839816,0.023252544701802054,0.0060087514805173825
Bank B,1.5,1238,888706.923495505,0.02294613838491386,0.006460684443565401
Bank B,1.5,1239,2560631.503877769,0.036000465474987704,0.009271659280440492
Bank B,1.5,1240,1197043.6440928257,0.022840862600447025,0.0054109829612168925
Bank B,1.5,1241,1799512.826273053,0.01681968458495224,0.005074892755377869
Bank B,1.5,1242,970518.9561810923,0.030012900206860753,0.008736941798949904
Bank B,1.5,1243,6311913.335786667,0.04005884882504972,0.009348847509972003
Bank B,1.5,1244,2579705.322609701,0.02933008818361369,0.0072878335877867295
Bank B,1.5,1245,3129354.3390109325,0.024828831785190773,0.005873453092718139
Bank B,1.5,1246,520176.6538729683,0.03665800336132481,0.007526007430388004
Bank B,1.5,1247,2996496.109614756,0.02954875290432492,0.008045319766085024
Bank B,1.5,1248,2589842.183432974,0.025039639530613937,0.006458769569199441
Bank B,1.5,1249,3057155.1525359177,0.015387813386597872,0.004173352921103546
Bank B,1.5,1250,1689712.4575060566,0.029320008105157697,0.008554030280963798
Bank B,1.5,1251,2506106.312620152,0.020435806295030494,0.005981978381680353
Bank B,1.5,1252,2086587.3924601276,0.033080761738976734,0.007814679426162763
Bank B,1.5,1253,1147643.065287994,0.027596885937347975,0.006157785641200064
Bank B,1.5,1254,2104469.15064473,0.035129225986598435,0.00855442529845929
Bank B,1.5,1255,1618078.363849004,0.019352389434159206,0.005691572655251331
Bank B,1.5,1256,548280.6018818154,0.0056022141444159665,0.0020737608294533194
Bank B,1.5,1257,773875.8791348902,0.02519239554752424,0.004965773616525504
Bank B,1.5,1258,2377910.2280072775,0.04519957864734715,0.010261076369394218
Bank B,1.5,1259,1281451.418408553,0.04544439282335859,0.009444198981006124
Bank B,1.5,1260,2007478.2936299453,0.03779437881119317,0.007681833405713601
Bank B,1.5,1261,3903520.8199779154,0.029081922369353565,0.007415487292207756
Bank B,1.5,1262,494887.3065987773,0.030541941189577673,0.007715157949538476
Bank B,1.5,1263,272808.4434897374,0.01299107654095089,0.00446069129279314
Bank B,1.5,1264,3134413.578115112,0.022514030828311566,0.00539305376352428
Bank B,1.5,1265,2792224.3740952997,0.012615776798877527,0.004258806379255131
Bank B,1.5,1266,1767602.8976346888,0.032368390005958605,0.006861752753188566
Bank B,1.5,1267,553227.9935159947,0.020052632842458333,0.006240813403117995
Bank B,1.5,1268,2793410.748603616,0.016338971981954248,0.004448058407710009
Bank B,1.5,1269,1535802.7488465498,0.03173864710479741,0.008510382835454244
Bank B,1.5,1270,2398389.799241002,0.043322844588522876,0.00996652147372823
Bank B,1.5,1271,4708147.208197929,0.03020848897256933,0.0070273269089039525
Bank B,1.5,1272,3161209.168298523,0.027635208468056973,0.006102544141356581
Bank B,1.5,1273,1290996.531664982,0.02977182281938394,0.007149776956214882
Bank B,1.5,1274,2142547.999547989,0.03571181471303626,0.0076572941704515785
Bank B,1.5,1275,2224938.6284373295,0.017014913797366152,0.005593757173426583
Bank B,1.5,1276,2617283.3353807894,0.0310931926640346,0.007084044274279999
Bank B,1.5,1277,2357206.1274539093,0.038543718674463615,0.009124184209384545
Bank B,1.5,1278,3773451.0263393344,0.027534426919250732,0.0075828416216819905
Bank B,1.5,1279,1848310.9936839137,0.031100208440227393,0.008169624450030555
Bank B,1.5,1280,4655368.966069449,0.03610456155174427,0.008924980962443763
Bank B,1.5,1281,312710.9463560546,0.029577320514296897,0.006014006430856589
Bank B,1.5,1282,1977203.9930958576,0.03257478713873378,0.008052225829127457
Bank B,1.5,1283,2389664.4807691076,0.034868266376866325,0.008749597842189871
Bank B,1.5,1284,3354708.02309692,0.028245181975366213,0.00782954763524668
Bank B,1.5,1285,1227510.9458028013,0.035743241791051636,0.007046954662147664
Bank B,1.5,1286,2476722.2456768127,0.028096684354202355,0.006326306524407799
Bank B,1.5,1287,1745635.076566975,0.019492477691406083,0.004340662353718883
Bank B,1.5,1288,3928504.333724467,0.04635031866248819,0.010864994243748205
Bank B,1.5,1289,1428075.976531255,0.030714886597395137,0.00619110676234802
Bank B,1.5,1290,498076.87398484646,0.02021887647298532,0.0058016846603375916
Bank B,1.5,1291,2534166.9713818054,0.027496826147552035,0.00617290660875891
Bank B,1.5,1292,1907270.6763311792,0.027285499037282786,0.007004838296773452
Bank B,1.5,1293,1337330.9419761985,0.02366856399032032,0.004959109089578639
Bank B,1.5,1294,2856731.869296184,0.05234877652055034,0.010725978893985633
Bank B,1.5,1295,268824.41897477186,0.03080034877376974,0.006591452753153093
Bank B,1.5,1296,3988637.4267759286,0.037230619715968714,0.009258427766960509
Bank B,1.5,1297,3162904.4817468505,0.05252190537861652,0.010807911548073146
Bank B,1.5,1298,2093706.800542065,0.03663216124159587,0.007823712834465257
Bank B,1.5,1299,1037697.2357685656,0.020588038615623132,0.004728820022867453
Bank B,1.5,1300,3713915.661255136,0.04089781450077706,0.010294047629526792
Bank B,1.5,1301,1574876.5888401088,0.03471151734498588,0.00690828451856107
Bank B,1.5,1302,2869739.245317025,0.033040231038315854,0.009192186357168342
Bank B,1.5,1303,1350378.0637737021,0.03462733042546802,0.00899052277651835
Bank B,1.5,1304,479167.80698376766,0.01845093073215397,0.004627191208527948
Bank B,1.5,1305,2725410.9829910323,0.05950633027429875,0.013972051463961632
Bank B,1.5,1306,485388.227339544,0.023491241089398894,0.004412122995699708
Bank B,1.5,1307,3456522.2154625272,0.022818420888338308,0.00499343733925206
Bank B,1.5,1308,1010616.1719255336,0.03187968569416345,0.007555509381563352
Bank B,1.5,1309,1519844.017841029,0.03348995569381264,0.008744748384743817
Bank B,1.5,1310,937638.9392883986,0.026013883133910762,0.006125175961222973
Bank B,1.5,1311,1329165.197913466,0.06131950939564748,0.014176725800310486
Bank B,1.5,1312,472158.3053952285,0.02295764423777289,0.00486963448333777
Bank B,1.5,1313,4690512.233294272,0.029138065045745662,0.006531485387323621
Bank B,1.5,1314,2993668.9760849327,0.02035530237389311,0.006237563427185289
Bank B,1.5,1315,401847.6422690191,0.02004017640684457,0.005017373658537383
Bank B,1.5,1316,1973092.031281544,0.028306980196649234,0.007005716635364978
Bank B,1.5,1317,789561.1113476481,0.028583949690690953,0.007634823733057905
Bank B,1.5,1318,1358812.2117391059,0.03523949750878367,0.008446317501963896
Bank B,1.5,1319,2595424.321961285,0.032070171859428974,0.008145571191536471
Bank B,1.5,1320,2423173.6649330407,0.031195632436888714,0.007813170283180515
Bank B,1.5,1321,2162393.327236622,0.04243069813302043,0.01091154051790899
Bank B,1.5,1322,1107832.4135646143,0.019324569016595607,0.005079444086259488
Bank B,1.5,1323,4935390.927887172,0.05805103350725024,0.013930261707719382
Bank B,1.5,1324,2269216.229424818,0.03776571079994022,0.008083375900471923
Bank B,1.5,1325,5789661.607625832,0.05216974956250388,0.013597302998385019
Bank B,1.5,1326,1453150.7998126736,0.026524198076636172,0.006063281729891679
