scenario,counterparty,netting_set,time_years,ee,pfe_95,default_weighted_ee,default_weighted_pfe_95,mean_hazard,mean_default_probability
independent,Bank B,NS_BANK_B,1.5,2607127.730739273,5457882.113686276,2595823.352184183,5432792.722709608,0.02871662459630305,0.006867443522170976
independent,Bank B,NS_BANK_B,1.75,2473421.9857779066,5591836.498347781,2459111.795351416,5604431.508531122,0.02897170818125043,0.006879160730994765
independent,Bank B,NS_BANK_B,2.0,2358953.080759417,5657456.490130378,2349932.3273426974,5682320.571036138,0.029222653619701305,0.006886794417080273
independent,Bank B,NS_BANK_B,2.25,2212002.793539523,5646167.854090187,2206761.674116411,5654753.6659597205,0.02944447078559367,0.006890137279540778
independent,Bank B,NS_BANK_B,2.5,2095567.8789492662,5680617.083208686,2096379.1949910126,5696298.417561308,0.029639475376318926,0.006886542156338834
independent,Bank B,NS_BANK_B,2.75,2031179.8949253205,5882947.438050219,2035270.3811373108,5902432.640015433,0.029757133499901233,0.006870613409625585
independent,Bank B,NS_BANK_B,3.0,537539.5275357421,1317804.565462289,537716.3316668348,1312726.175378414,0.029820863267869906,0.0068398545691734395
independent,Bank B,NS_BANK_B,3.25,481587.1833073245,1209030.7353542193,480795.89370628784,1209991.919223109,0.02989244989549369,0.006803526965876718
independent,Bank B,NS_BANK_B,3.5,421640.5210044276,1067134.8029816693,420405.64065380197,1065359.1975776693,0.02998417545941767,0.006770176081790137
independent,Bank B,NS_BANK_B,3.75,357653.773058865,934083.6678012143,356847.3553299264,930448.6707463852,0.0299931445833244,0.006730854943404666
independent,Bank B,NS_BANK_B,4.0,297390.02587653615,795041.1308912577,296654.0157110849,792788.7139517298,0.030025947713841112,0.0066853104440152125
independent,Bank B,NS_BANK_B,4.25,229891.25142684774,625089.922281582,229358.4833676372,623293.0539555289,0.029986600544141605,0.006633897885728021
independent,Bank B,NS_BANK_B,4.5,158339.05147880942,435970.6087113839,157943.86867308815,435417.03736185655,0.029959264032925363,0.006576308480042374
independent,Bank B,NS_BANK_B,4.75,81903.26493609822,231936.6745117516,81764.27863887885,232950.68425697222,0.03003726214858468,0.006532418905230357
independent,Bank B,NS_BANK_B,5.0,0.0,0.0,0.0,0.0,0.03000889998264343,0.0064889614926248495
independent,Fund C,NS_FUND_C,0.0,0.0,0.0,0.0,0.0,0.02,0.0
independent,Fund C,NS_FUND_C,0.25,92217.81900887525,464819.17058477004,91717.1621559971,464195.31081534876,0.020573252711031075,0.005058628019724902
independent,Fund C,NS_FUND_C,0.5,142412.90662158743,665526.9418206592,142443.41279598282,665524.4531620364,0.02111103995056665,0.005169175017703512
independent,Fund C,NS_FUND_C,0.75,170800.84480274946,857980.094296205,171534.69115897652,859079.3706885816,0.02160434895715073,0.0052670572472320555
independent,Fund C,NS_FUND_C,1.0,198262.8492591065,1008498.8289968041,199589.5812443889,1009003.8778820053,0.02209942837270622,0.005357410308506295
independent,Fund C,NS_FUND_C,1.25,229427.24483315897,1177736.2018800867,229187.44941014753,1175797.8619132387,0.022359615394787806,0.005417397096116244
independent,Fund C,NS_FUND_C,1.5,263196.8941117645,1344501.197910574,264232.851120498,1346554.0320921391,0.022581209389941865,0.005443074335191521
independent,Fund C,NS_FUND_C,1.75,292869.7303828418,1506072.6282566132,294749.7428197725,1536144.5006712768,0.0228102644484471,0.005464502011126463
independent,Fund C,NS_FUND_C,2.0,143341.88452751466,804512.3718165638,144764.59604743368,805448.2387401423,0.022978372610925425,0.005478887223246505
independent,Fund C,NS_FUND_C,2.25,160414.57430000472,867597.830061485,161008.79914021635,868096.3125468309,0.023079880954108543,0.005477843659672544
independent,Fund C,NS_FUND_C,2.5,178445.74547899203,946407.4888318048,178089.39638423367,939897.7867612061,0.023235492544136503,0.005475216218278642
independent,Fund C,NS_FUND_C,2.75,193487.20039909636,1045239.5840736971,193158.8322099369,1051640.0971866066,0.023382249782295708,0.005477477358677324
independent,Fund C,NS_FUND_C,3.0,210245.24681312442,1152307.3390684824,209972.4886888735,1149992.8729348572,0.023496781701337954,0.0054747246958503516
independent,Fund C,NS_FUND_C,3.25,230561.58512427178,1240829.27877644,229645.28589850268,1237016.121101577,0.02357232558617454,0.005463675922080388
independent,Fund C,NS_FUND_C,3.5,246761.59900311637,1331880.3058772779,244564.41730154242,1323303.326345476,0.023651317545631365,0.005448454019208661
independent,Fund C,NS_FUND_C,3.75,263437.036406516,1474421.1905309889,261517.93625162996,1467123.5377782935,0.0237701499212771,0.005438206370469391
independent,Fund C,NS_FUND_C,4.0,286171.09900338476,1586894.428530865,285111.0674266661,1570175.5338695946,0.023855024242516225,0.005428580626278066
independent,Fund C,NS_FUND_C,4.25,298565.62191771314,1721923.9400041278,298000.20182916196,1725858.473673099,0.02390382890214724,0.005410725093622276
